SL,Z,Transitions,EW,EWsig,Vmin,Vmax,N,Nsig,Vel
6,2.3488,SiII 1260,-55.42,90.21,-90.25,49.28,,12.77,-50.65
6,2.3488,OI 1302,291.89,211.64,-156.69,311.72,14.65,14.54,107.61
6,2.3488,SiII 1304,1415.02,217.15,-169.98,484.47,15.25,14.76,139.84
6,2.3488,CII 1334,-21.6,63.1,-17.16,22.7,,13.47,11.55
6,2.3488,SiIV 1393,100.26,134.06,-73.64,202.1,13.08,13.21,4.7
6,2.3488,SiIV 1402,77.76,100.94,-80.28,172.2,13.26,13.4,-4.6
6,2.3488,SiII 1526,-77.97,46.79,-30.45,12.74,,13.19,-12.35
6,2.3488,CIV 1548,3172.23,201.86,-472.29,813.36,15.1,14.15,98.74
6,2.3488,CIV 1550,3199.61,210.45,-953.99,457.89,15.4,14.45,-383.25
6,2.3488,FeII 1608,73.83,109.81,-259.67,95.79,13.77,13.93,-207.12
5,2.3488,HI 1215,2088.88,293.32,-866.83,251.91,14.8,14.2,-234.58
7,2.1813,SiII 1260,839.8,244.66,-146.72,295.11,13.96,13.63,25.92
7,2.1813,OI 1302,456.75,286.02,-189.91,251.93,14.91,14.76,84.23
7,2.1813,SiII 1304,362.42,258.98,-189.91,112.4,14.5,14.43,-104.15
7,2.1813,CII 1334,676.98,191.4,-153.37,218.71,14.78,14.5,-3.97
7,2.1813,SiIV 1393,1345.61,294.36,-193.23,690.44,14.3,13.73,224.15
7,2.1813,SiIV 1402,245.01,155.78,-103.54,218.71,13.83,13.64,11.2
7,2.1813,SiII 1526,406.84,114.38,-156.69,245.28,14.31,13.81,-14.62
7,2.1813,CIV 1548,452.71,105.3,-166.65,132.33,14.15,13.6,-41.75
7,2.1813,CIV 1550,338.44,110.74,-116.82,215.38,14.28,13.85,22.8
7,2.1813,FeII 1608,145.96,91.3,-70.31,198.77,14.06,13.89,40.31
7,2.1813,AlII 1670,285.54,93.91,-86.93,162.23,12.87,12.44,2.44
6,2.3488,HI 1215,2151.76,284.04,-781.24,248.6,14.8,14.17,-223.91
7,2.2993,SiII 1260,300.67,234.14,-193.23,195.45,13.4,13.32,-6.28
7,2.2993,OI 1302,1425.1,305.02,-688.22,411.39,15.41,14.84,-4.85
7,2.2993,SiII 1304,-74.94,97.25,-23.81,12.74,,13.74,-20.79
7,2.2993,CII 1334,14.69,81.67,-40.42,52.6,12.87,13.63,14.58
7,2.2993,SiIV 1393,680.28,193.17,-57.03,388.13,14.01,13.55,111.35
7,2.2993,SiIV 1402,216.54,185.19,-53.7,261.89,13.74,13.71,27.65
7,2.2993,SiII 1526,136.98,95.35,-269.64,32.67,13.79,13.64,-133.83
7,2.2993,CIV 1548,1113.38,169.65,-744.7,145.62,14.53,13.77,-241.91
7,2.2993,CIV 1550,256.72,90.16,-106.86,222.03,14.15,13.73,52.08
7,2.2993,FeII 1608,-6.24,43.59,-30.45,26.03,,13.5,-16.83
7,2.3488,HI 1215,1176.99,291.45,-342.72,265.21,14.52,14.11,-84.62
7,2.3488,SiII 1260,25.55,121.67,-37.09,218.71,12.27,12.95,61.4
7,2.3488,OI 1302,433.69,195.51,-37.09,288.47,14.9,14.64,123.8
7,2.3488,SiII 1304,1166.83,252.65,-179.94,398.1,15.15,14.75,132.66
7,2.3488,CII 1334,57,115.71,-183.27,12.74,13.47,13.79,-117.61
7,2.3488,SiIV 1393,33.46,96.41,-57.03,115.72,12.59,13.06,0.09
7,2.3488,SiIV 1402,666,177.55,-382.59,354.91,14.25,13.72,-213.03
7,2.3488,SiII 1526,-96.36,43.04,-17.16,12.74,,13.13,-12.35
7,2.3488,CIV 1548,1235.31,124.74,-342.72,218.71,14.65,13.82,-63.27
7,2.3488,CIV 1550,2228.22,167.62,-910.8,185.48,15.2,14.22,-445.38
7,2.3488,FeII 1608,-64.88,43.23,-13.84,12.74,,13.42,5.84
